obs,series01,ret,resid,inf,dtbill
1961M06,1961M06,-0.027091588,-0.936582906,0.335008689,-0.09
1961M07,1961M07,3.839818918,2.944036743,0,0.15
1961M08,1961M08,-0.54088607,-2.322764728,0.333890127,-0.11
1961M09,1961M09,1.345524829,0.531174455,0,0.02
1961M10,1961M10,4.774509804,3.360864876,0,0.18
1961M11,1961M11,1.165353592,-0.77317998,0,0.12
1961M12,1961M12,-3.48635466,-4.764297033,0,0.12
1962M01,1962M01,1.910299937,1.560898406,0.332779009,0.01
1962M02,1962M02,0.341782968,-0.843342736,0.331675263,-0.01
1962M03,1962M03,-2.94415161,-3.837293691,0,0.01
1962M04,1962M04,-7.184260348,-7.75160445,0,-0.04
1962M05,1962M05,-11.41186432,-11.18269717,0,0.04
1962M06,1962M06,2.7183579,3.871199664,0,0.19
1962M07,1962M07,3.02400825,1.505882869,0.330578813,-0.1
1962M08,1962M08,-0.592390066,-2.111860329,0.32948959,-0.04
1962M09,1962M09,-2.853926724,-3.592824115,0,-0.04
1962M10,1962M10,7.203330663,6.568107484,0,0.09
1962M11,1962M11,4.626082612,2.112960881,0,0.04
1962M12,1962M12,4.147598712,2.099059837,0,0.04
1963M01,1963M01,1.59638923,-0.3566381,0.32840752,0.01
1963M02,1963M02,-0.107453479,-1.234532424,0,-0.03
1963M03,1963M03,4.980289072,3.806808287,0,0.01
1963M04,1963M04,2.271588375,0.122423914,0,0.03
1963M05,1963M05,0.218610398,-1.369914927,0.327332534,0.06
1963M06,1963M06,-1.221493605,-2.024815719,0.326264563,0.19
1963M07,1963M07,3.031546499,2.644219972,0.325203539,0.14
1963M08,1963M08,2.894007702,1.606730747,-0.325203539,0.06
1963M09,1963M09,0.502554335,-1.523526412,0.325203539,0.07
1963M10,1963M10,-0.303908211,-1.156182419,0,0.07
1963M11,1963M11,2.39603415,1.361506317,0.324149392,0
1963M12,1963M12,3.332060357,2.030893974,0,0
1964M01,1964M01,1.481723349,-0.348407252,0,0.01
1964M02,1964M02,2.072834561,0.62202885,0,0.01
1964M03,1964M03,1.694867809,0.126068691,0.323102058,-0.07
1964M04,1964M04,1.222096781,-0.010029817,0,0.01
