RCAN,RGER,RJAP,RUK
0.87032,1.02015,1.26323,1.119549
0.8762,1.07162,1.29346,1.15924
0.88577,1.1246,1.35384,1.137911
0.88108,1.14667,1.33275,1.139272
0.87927,1.16057,1.34709,1.112241
0.88507,1.11403,1.2828,1.082474
0.88922,1.15765,1.28777,1.104142
0.88324,1.17834,1.3101,1.143332
0.91512,1.23983,1.33207,1.161958
0.91441,1.21489,1.32401,1.181221
0.93386,1.22468,1.37076,1.220939
0.91316,1.22818,1.39629,1.252181
0.91351,1.20087,1.35664,1.228204
0.91439,1.19212,1.34321,1.214461
0.91219,1.18337,1.32248,1.196561
0.92703,1.20431,1.38036,1.223471
0.93464,1.19171,1.353,1.221309
0.92747,1.24449,1.40481,1.282017
0.94066,1.30443,1.43629,1.341738
0.94842,1.33888,1.50787,1.37878
0.96277,1.27682,1.46248,1.315917
0.97632,1.2708,1.45793,1.323722
0.99202,1.28298,1.47331,1.38482
0.99703,1.26905,1.46918,1.37829
0.99641,1.23857,1.45921,1.354271
1.00519,1.17659,1.3953,1.316322
1.0035,1.14084,1.40239,1.273447
0.98745,1.1429,1.38241,1.27164
1.00371,1.13857,1.38408,1.265131
1.00042,1.19863,1.43933,1.299996
1.03538,1.22701,1.47083,1.342578
1.02541,1.19479,1.4311,1.348533
1.02152,1.14747,1.39375,1.313594
1.01318,1.16155,1.40566,1.299629
1.0109,1.12122,1.37176,1.274215
1.00957,1.13158,1.37295,1.263435
0.9873,1.0698,1.30333,1.219746
0.99551,1.08895,1.29596,1.175534
1.01144,1.1348,1.33747,1.223356
1.0393,1.09125,1.30096,1.219784
1.01633,1.13692,1.345,1.204257
1.01654,1.16052,1.30932,1.217061
1.02596,1.18699,1.30477,1.210813
