country ,public         ,uncons ,fmcn50_ceo,roce  ,sic2      ,sales,tanfixassts,materials,age   ,hours,employment  
fr,0,1,0,5,20,127397,12555,76327,38,.,669
fr,0,1,1,24,35,147325,18389,53573,31,38.6,399
fr,0,1,0,0,33,544704,204122,268210,31,39.2,3292
fr,1,0,0,24,20,109003,8573,53606,32,35.53,1070
fr,1,0,1,15,27,242330,37922,180584,94,35,1265
fr,0,1,0,-15,36,138024,16774,39924,43,.,711
fr,0,1,0,40,36,19177,644,7829,48,35.65,174
fr,0,0,1,16,35,567345,53055,329359,86,35,5093
fr,0,1,1,-17,29,44546,5183,29676,63,.,133
fr,0,1,1,-9,36,25263,4125,12435,45,.,143
fr,1,0,0,19,36,138019,21421,75028,56,.,1349
fr,0,1,1,25,20,47574,2538,304336,40,35,183
fr,0,1,0,42,25,126975,6270,61741,38,.,1593
fr,0,1,0,26,36,11434,1082,6340,50,35,121
fr,0,1,0,27,35,89193,.,71581,16,35,117
fr,1,0,0,4,33,103579,10393,48660,74,35,517
fr,0,0,1,30,35,159320,22832,83472,80,35,1271
fr,0,1,0,22,33,2023644,81103,865138,37,.,3231
ger,0,1,0,50,28,41813,5118,.,49,38.72,115
ger,0,1,0,9,36,43981,2196,.,106,.,448
ger,0,0,0,-3,28,73392,54026,11682,23,39,227
ger,1,0,0,12,39,18866,6025,8570,28,40.25,217
ger,0,1,0,-7,37,1033709,103159,587218,24,43,1933
ger,0,1,0,7,26,113465,32118,59640,28,36,1018
ger,0,0,0,7,38,396342,118310,91248,138,35.5,4692
ger,1,0,0,19,20,39744,19479,7569,210,37,237
ger,0,1,0,9,33,1070758,94358,905225,77,35,2567
ger,0,1,0,-25,35,39582,4365,.,28,.,332
ger,0,1,0,41,38,129038,10464,62492,29,39.6,428
ger,1,0,0,9,35,1336693,457564,591794,51,35.3,9160
ger,1,0,0,2,32,213859,302507,.,7,38.64,1131
ger,0,1,0,28,28,162884,5843,61971,102,39.25,490
ger,0,1,0,5,28,76361,4762,22750,53,37.5,556
ger,0,1,0,10,32,125885,26155,31658,119,42.4,1602
ger,1,0,1,0,32,32868,20403,7302,107,.,191
ger,1,0,0,24,32,114511,8771,40150,106,40,1043
ger,0,1,0,10,35,302691,27495,165170,7,35,985
ger,1,0,1,3,20,164268,48239,65214,248,40.3,778
ger,0,0,0,10,37,1262153,54871,1041486,107,30.3,7360
ger,1,0,0,20,35,141563,8361,52212,86,35.25,1228
ger,0,0,0,24,34,88164,7906,47879,96,40.75,834
ger,0,1,1,22,28,37778,1111,21089,47,40,133
ger,0,1,0,16,26,112219,5842,55769,7,40.55,244
ger,0,1,0,28,30,38881,9677,.,34,38.52,219
ger,0,1,0,3,37,107607,15153,65536,14,40,362
ger,0,1,0,3,33,373731,251945,262466,14,45,736
ger,1,0,0,-19,35,338616,16011,.,13,41,691
ger,0,1,0,20,36,150239,42694,.,6,36.5,828
ger,1,0,0,9,38,1672948,122135,893981,8,38.72,8821
ger,1,0,0,-25,38,12669,3667,908,14,40.8,165
ger,1,0,0,9,35,828597,149687,598466,139,40.15,4135
ger,1,0,0,4,35,166605,33108,.,115,38.51,2056
ger,0,1,0,14,33,58299,10834,.,89,37.68,224
ger,0,0,0,17,35,519041,97793,.,129,35.72,4394
ger,1,0,0,11,37,658001,181404,337248,113,.,4916
ger,1,0,0,4,24,133854,49225,67089,107,40.28,1696
ger,0,0,0,9,35,1113861,139899,.,149,41.5,6485
ger,1,0,0,14,23,424161,33939,151722,85,.,4994
ger,1,0,0,4,37,166843,98334,59429,100,39.2,2147
ger,1,0,0,3,35,531050,110413,142457,44,.,4688
ger,1,0,0,9,30,108706,34797,53306,54,38.7,572
ger,0,1,0,33,26,72268,6123,54118,25,39.2,226
ger,0,1,0,8,28,773759,77844,197243,113,40,2847
